"Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate","Nombre_U","Direccion_Busqueda","latitude","longitude"
"No",3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42,"East Tennessee State University","East Tennessee State University, USA",36.30098,-82.35945
"Yes",379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38,"East Texas Baptist University","East Texas Baptist University, USA",32.552851,-94.372008
"Yes",458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54,"Eastern College","Eastern College, USA",30.46355,-89.1006933
"No",2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,"Eastern Connecticut State University","Eastern Connecticut State University, USA",41.71451,-72.218474
"No",5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76,"Eastern Illinois University","Eastern Illinois University, USA",39.483641,-88.175221
"Yes",486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82,"Eastern Mennonite College","Eastern Mennonite College, USA",38.4721,-78.87688
"Yes",516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70,"Eastern Nazarene College","Eastern Nazarene College, USA",42.2711224,-71.0116018
"Yes",1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,"Eckerd College","Eckerd College, USA",27.7131952,-82.6880065
"Yes",2417,1843,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81,"Elizabethtown College","Elizabethtown College, USA",40.149584,-76.59102
"Yes",1457,1045,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64,"Elmira College","Elmira College, USA",42.0981954,-76.815395
"Yes",245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86,"Elms College","Elms College, USA",42.142073,-72.600667
"Yes",3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63,"Elon College","Elon College, USA",36.1028135,-79.5076344
"Yes",3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44,"Embry Riddle Aeronautical University","Embry Riddle Aeronautical University, USA",29.191805,-81.050608
"Yes",765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,"Emory & Henry College","Emory & Henry College, USA",36.77207,-81.83297
"Yes",8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5,28,28457,96,"Emory University","Emory University, USA",33.7901633,-84.325522
"No",1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,"Emporia State University","Emporia State University, USA",38.4138164,-96.1801024
"Yes",659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,"Erskine College","Erskine College, USA",34.332087,-82.39095
"Yes",560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53,"Eureka College","Eureka College, USA",40.714267,-89.268367
"No",1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,"Evergreen State College","Evergreen State College, USA",47.0393,-122.7775
"Yes",4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,"Fairfield University","Fairfield University, USA",41.1589527,-73.2570566
"No",1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,"Fayetteville State University","Fayetteville State University, USA",35.0726,-78.8924739
"Yes",1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,"Ferrum College","Ferrum College, USA",36.9255131,-80.0192919
"Yes",1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,"Flagler College","Flagler College, USA",29.893053,-81.31504
"Yes",1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,"Florida Institute of Technology","Florida Institute of Technology, USA",28.0664911,-80.6236942
"No",3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,"Florida International University","Florida International University, USA",25.7574621,-80.3761583
"Yes",1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68,"Florida Southern College","Florida Southern College, USA",29.1598646,-82.1755918
"No",11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58,"Florida State University","Florida State University, USA",30.4445,-84.2982
"Yes",291,245,126,16,49,981,337,8390,4100,350,1500,45,55,21.5,24,4607,62,"Fontbonne College","Fontbonne College, USA",38.641643,-90.315693
"Yes",4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80,"Fordham University","Fordham University, USA",40.8611871,-73.8873377
"No",3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46,"Fort Lewis College","Fort Lewis College, USA",37.2772,-107.8699
"No",1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,"Francis Marion University","Francis Marion University, USA",34.189777,-79.652854
"Yes",553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83,"Franciscan University of Steubenville","Franciscan University of Steubenville, USA",40.37395,-80.61871
"Yes",804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60,"Franklin College","Franklin College, USA",39.4766735,-86.0421405
"Yes",5187,4471,446,3,14,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51,"Franklin Pierce College","Franklin Pierce College, USA",42.78104,-72.05729
"Yes",895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62,"Freed-Hardeman University","Freed-Hardeman University, USA",35.440707,-88.6341647
"Yes",346,274,146,51,87,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54,"Fresno Pacific College","Fresno Pacific College, USA",36.72802,-119.73613
"Yes",2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82,"Furman University","Furman University, USA",34.85193,-82.39961
"Yes",2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,"Gannon University","Gannon University, USA",42.125786,-80.085613
"Yes",1110,930,332,18,36,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29,"Gardner Webb University","Gardner Webb University, USA",35.2477932,-81.6713773
"Yes",668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,"Geneva College","Geneva College, USA",40.771596,-80.320597
"Yes",809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52,"George Fox College","George Fox College, USA",45.3025,-122.96895
"No",5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46,"George Mason University","George Mason University, USA",38.8325735,-77.2997831
"Yes",7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72,"George Washington University","George Washington University, USA",38.904999,-77.050506
"Yes",727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55,"Georgetown College","Georgetown College, USA",38.2069648,-84.554822
"Yes",11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95,"Georgetown University","Georgetown University, USA",38.9120906,-77.0768886
"No",7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,"Georgia Institute of Technology","Georgia Institute of Technology, USA",33.7788359,-84.3959731
"No",3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34,"Georgia State University","Georgia State University, USA",33.7568235,-84.3877141
"Yes",348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76,"Georgian Court College","Georgian Court College, USA",40.0987005,-74.2288151
"Yes",3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83,"Gettysburg College","Gettysburg College, USA",39.8341829,-77.2336648
"Yes",633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36,"Goldey Beacom College","Goldey Beacom College, USA",39.741694,-75.690036
"Yes",1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69,"Gonzaga University","Gonzaga University, USA",47.663033,-117.398084
"Yes",674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66,"Gordon College","Gordon College, USA",42.589134,-70.821069
"Yes",440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,"Goshen College","Goshen College, USA",41.5648414,-85.8277334
"Yes",1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,"Goucher College","Goucher College, USA",39.40843,-76.595372
"Yes",548,428,167,18,46,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64,"Grace College and Seminary","Grace College and Seminary, USA",41.22616,-85.81416
"Yes",555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47,"Graceland College","Graceland College, USA",40.7396135,-92.8870654
"No",5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,"Grand Valley State University","Grand Valley State University, USA",42.963001,-85.889826
"Yes",780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,6475,76,"Green Mountain College","Green Mountain College, USA",43.5165587,-73.2402099
"Yes",608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39,"Greensboro College","Greensboro College, USA",36.071354,-79.800004
"Yes",510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,60,"Greenville College","Greenville College, USA",38.894852,-89.408639
"Yes",2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83,"Grinnell College","Grinnell College, USA",41.752722,-92.719785
"Yes",2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,"Grove City College","Grove City College, USA",41.165398,-80.084884
"Yes",1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,"Guilford College","Guilford College, USA",36.0917475,-79.8887627
"Yes",1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80,"Gustavus Adolphus College","Gustavus Adolphus College, USA",44.3235559,-93.9737526
"Yes",380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96,"Gwynedd Mercy College","Gwynedd Mercy College, USA",40.196024,-75.242805
"Yes",3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,"Hamilton College","Hamilton College, USA",43.0526659,-75.4077157
"Yes",1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13,33,10296,65,"Hamline University","Hamline University, USA",44.966034,-93.165685
"Yes",817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69,"Hampden - Sydney College","Hampden - Sydney College, USA",37.240615,-78.464216
"Yes",7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14,9,6791,70,"Hampton University","Hampton University, USA",37.023229,-76.332458
"Yes",1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64,"Hanover College","Hanover College, USA",38.727873,-85.461771
"Yes",467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38,"Hardin-Simmons University","Hardin-Simmons University, USA",33.2015022,-96.6231775
"Yes",1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73,"Harding University","Harding University, USA",35.249456,-91.7262035
"Yes",2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,"Hartwick College","Hartwick College, USA",42.4600331,-75.0748264
"Yes",13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100,"Harvard University","Harvard University, USA",42.3731172,-71.1182448
"Yes",1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,"Harvey Mudd College","Harvey Mudd College, USA",34.105583,-117.71115
"Yes",817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13,17,7335,52,"Hastings College","Hastings College, USA",40.5947339,-98.3644773
"Yes",823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,"Hendrix College","Hendrix College, USA",35.100103,-92.441791
"Yes",920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,12639,79,"Hillsdale College","Hillsdale College, USA",41.932919,-84.633613
"Yes",922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79,"Hiram College","Hiram College, USA",41.311827,-81.144623
"Yes",2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79,"Hobart and William Smith Colleges","Hobart and William Smith Colleges, USA",42.857474,-76.983206
"Yes",7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60,"Hofstra University","Hofstra University, USA",40.7154655,-73.5970371
"Yes",602,498,215,26,58,795,74,13470,5515,500,850,78,91,11.1,48,13957,72,"Hollins College","Hollins College, USA",37.35463,-79.9422
"Yes",699,565,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,"Hood College","Hood College, USA",39.423375,-77.417559
"Yes",1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,"Hope College","Hope College, USA",42.787048,-86.104824
"Yes",949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15,24,8187,67,"Houghton College","Houghton College, USA",42.822389,-78.753185
"Yes",608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44,"Huntingdon College","Huntingdon College, USA",32.350362,-86.285495
"Yes",450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47,"Huntington College","Huntington College, USA",40.89827,-85.49586
"Yes",600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21,"Huron University","Huron University, USA",44.35748,-98.21954
"Yes",723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22,4,4923,84,"Husson College","Husson College, USA",44.09841,-70.21755
"Yes",607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75,"Illinois Benedictine College","Illinois Benedictine College, USA",41.778229,-88.096086
"Yes",894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52,"Illinois College","Illinois College, USA",37.17554597938,-88.612057354103
"Yes",1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56,"Illinois Institute of Technology","Illinois Institute of Technology, USA",41.8339763,-87.6283738
"No",8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54,"Illinois State University","Illinois State University, USA",40.5093238,-88.98873
"Yes",3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,"Illinois Wesleyan University","Illinois Wesleyan University, USA",40.490341,-88.993865
"Yes",268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69,"Immaculata College","Immaculata College, USA",40.031492222035,-75.565074389192
"Yes",1163,927,386,16,49,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95,"Incarnate Word College","Incarnate Word College, USA",29.468703,-98.46462
"No",5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,"Indiana State University","Indiana State University, USA",39.46877,-87.40977
"No",16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68,"Indiana University at Bloomington","Indiana University at Bloomington, USA",39.175428,-86.495611
"Yes",735,423,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34,"Indiana Wesleyan University","Indiana Wesleyan University, USA",40.5190551,-85.6638089
"Yes",4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66,"Iona College","Iona College, USA",40.9272673,-73.7899018
"No",8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,"Iowa State University","Iowa State University, USA",42.0257917,-93.6539061
"Yes",7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,"Ithaca College","Ithaca College, USA",42.422154,-76.494136
"No",11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98,"James Madison University","James Madison University, USA",38.4292811,-78.8672808
"Yes",472,410,262,14,41,9950,71,7620,3050,400,400,51,53,17,21,3186,54,"Jamestown College","Jamestown College, USA",46.91471,-98.6976
"No",2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26,"Jersey City State College","Jersey City State College, USA",40.7113863,-74.0907664
"Yes",605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,"John Brown University","John Brown University, USA",36.189812,-94.560283
"Yes",2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,"John Carroll University","John Carroll University, USA",41.488,-81.9168
"Yes",8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,"Johns Hopkins University","Johns Hopkins University, USA",39.3258869,-76.6215906
"No",833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36,"Johnson State College","Johnson State College, USA",44.64109,-72.67167
"Yes",313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,"Judson College","Judson College, USA",32.630649,-87.3158061
"Yes",1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80,"Juniata College","Juniata College, USA",40.499357,-78.016088
"No",5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54,"Kansas State University","Kansas State University, USA",38.80039,-97.63459
"Yes",589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,"Kansas Wesleyan University","Kansas Wesleyan University, USA",38.8143451,-97.609444
"No",3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,"Keene State College","Keene State College, USA",42.9254221,-72.2803428
"Yes",584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62,"Kentucky Wesleyan College","Kentucky Wesleyan College, USA",37.742373,-87.122944
"Yes",2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,"Kenyon College","Kenyon College, USA",40.374408,-82.397977
"Yes",461,381,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,7863,51,"Keuka College","Keuka College, USA",42.615139,-77.09189
"Yes",1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87,"King's College","King's College, USA",41.25006,-75.879151
"Yes",355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65,"King College","King College, USA",36.586009,-82.158184
"Yes",1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79,"Knox College","Knox College, USA",40.943064,-90.373165
"Yes",361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52,"La Roche College","La Roche College, USA",40.569859218228,-80.013986650873
"Yes",2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84,"La Salle University","La Salle University, USA",40.038617,-75.153787
"Yes",4010,2402,572,36,59,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92,"Lafayette College","Lafayette College, USA",40.6985221,-75.2069902
"Yes",544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75,"LaGrange College","LaGrange College, USA",33.0338828,-85.0434269
"Yes",979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,"Lake Forest College","Lake Forest College, USA",42.249956,-87.828862
"Yes",497,452,231,24,47,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57,"Lakeland College","Lakeland College, USA",39.3897094,-89.0734863
"No",2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26,"Lamar University","Lamar University, USA",30.0417388,-94.0717561
"Yes",831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60,"Lambuth University","Lambuth University, USA",35.623595,-88.82768
"No",1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17,11,6119,51,"Lander University","Lander University, USA",34.1972714,-82.1648828
"Yes",1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77,"Lawrence University","Lawrence University, USA",44.261604,-88.397308
"Yes",1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94,"Le Moyne College","Le Moyne College, USA",43.04768,-76.08796
"Yes",1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85,"Lebanon Valley College","Lebanon Valley College, USA",40.3307999,-76.5138734
"Yes",6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,"Lehigh University","Lehigh University, USA",40.607309,-75.381342
"Yes",979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,8539,66,"Lenoir-Rhyne College","Lenoir-Rhyne College, USA",35.723794,-81.3518239
"Yes",244,198,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58,"Lesley College","Lesley College, USA",42.388264,-71.118092
"Yes",477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,"LeTourneau University","LeTourneau University, USA",32.9496612,-96.7706731
"Yes",2774,2092,482,35,64,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69,"Lewis and Clark College","Lewis and Clark College, USA",45.450625,-122.66956
"Yes",1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61,"Lewis University","Lewis University, USA",41.605432,-88.079032
"Yes",787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,"Lincoln Memorial University","Lincoln Memorial University, USA",35.781557,-83.978161
"No",1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,"Lincoln University","Lincoln University, USA",39.810058,-75.927391
"Yes",810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100,"Lindenwood College","Lindenwood College, USA",38.78672,-90.49929
"Yes",1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,"Linfield College","Linfield College, USA",45.2016561,-123.2006558
"Yes",900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92,"Livingstone College","Livingstone College, USA",35.671165,-80.484634
"No",3570,2215,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63,"Lock Haven University of Pennsylvania","Lock Haven University of Pennsylvania, USA",41.1423305,-77.4617904
"No",2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62,"Longwood College","Longwood College, USA",37.29909,-78.39604
"Yes",1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70,"Loras College","Loras College, USA",42.5031198,-90.6811371
"Yes",2013,1053,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59,"Louisiana College","Louisiana College, USA",31.328173,-92.427057
"No",5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37,"Louisiana State University at Baton Rouge","Louisiana State University at Baton Rouge, USA",30.4161026,-91.1766366
"No",2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45,"Louisiana Tech University","Louisiana Tech University, USA",32.5299772,-92.6483524
"Yes",4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80,"Loyola College","Loyola College, USA",39.345734,-76.620441
"Yes",3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84,"Loyola Marymount University","Loyola Marymount University, USA",33.98095,-118.40764
"Yes",1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53,"Loyola University","Loyola University, USA",41.996339,-87.682775
"Yes",3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65,"Loyola University Chicago","Loyola University Chicago, USA",41.8584713,-87.834141
"Yes",1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77,"Luther College","Luther College, USA",43.3162347,-91.8024115
"Yes",1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14,32,8024,72,"Lycoming College","Lycoming College, USA",41.247024,-77.000106
"Yes",1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70,"Lynchburg College","Lynchburg College, USA",37.3970136,-79.1775606
"No",535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51,"Lyndon State College","Lyndon State College, USA",44.5350944,-72.0253244
"Yes",2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77,"Macalester College","Macalester College, USA",44.938049,-93.169163
"Yes",740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59,"MacMurray College","MacMurray College, USA",39.7417613,-90.2432244
"Yes",874,758,428,21,46,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55,"Malone College","Malone College, USA",40.82478,-81.37595
"Yes",1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64,"Manchester College","Manchester College, USA",41.01116,-85.76193
"Yes",2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79,"Manhattan College","Manhattan College, USA",40.890179,-73.901988
"Yes",962,750,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70,"Manhattanville College","Manhattanville College, USA",41.032208,-73.714986
"No",3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68,"Mankato State University","Mankato State University, USA",44.151745,-94.00081
"Yes",824,670,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59,"Marian College of Fond du Lac","Marian College of Fond du Lac, USA",43.77752,-88.42142
"Yes",1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96,"Marietta College","Marietta College, USA",39.417686,-81.450414
"Yes",4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69,"Marist College","Marist College, USA",41.7222267,-73.9333408
"Yes",5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77,"Marquette University","Marquette University, USA",43.0379126,-87.9279064
"Yes",4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50,"Marshall University","Marshall University, USA",38.423491,-82.429113
"Yes",499,441,199,26,52,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90,"Mary Baldwin College","Mary Baldwin College, USA",38.153525,-79.069401
"No",4350,2178,756,39,78,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84,"Mary Washington College","Mary Washington College, USA",38.3008,-77.47394
"Yes",478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77,"Marymount College Tarrytown","Marymount College Tarrytown, USA",41.076695,-73.850505
"Yes",695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68,"Marymount Manhattan College","Marymount Manhattan College, USA",40.768907,-73.959613
"Yes",941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55,"Marymount University","Marymount University, USA",38.90538,-77.127935
"Yes",1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51,"Maryville College","Maryville College, USA",35.752681,-83.963771
"Yes",549,397,169,26,51,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61,"Maryville University","Maryville University, USA",38.646103,-90.503776
"Yes",1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66,"Marywood College","Marywood College, USA",41.43425,-75.63241
"Yes",6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94,"Massachusetts Institute of Technology","Massachusetts Institute of Technology, USA",42.359016,-71.092743
"No",233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51,"Mayville State University","Mayville State University, USA",47.505783,-97.322525
